Winner,Margin,Target,Opposition,Ground,Match Date,Scorecard,,,,,,,,
Sri Lanka,172 runs,261,v Kenya,Johannesburg,14-Sep-07,T20I # 27,,,,,,,,
South Africa,130 runs,212,v Scotland,The Oval,07-Jun-09,T20I # 94,,,,,,,,
New Zealand,119 runs,244,v West Indies,Mount Maunganui,03-Jan-18,T20I # 638,,,,,,,,
England,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268,,,,,,,,
Zimbabwe,109 runs,185,v Canada,King City (NW),13-Oct-08,T20I # 75,,,,,,,,
Afghanistan,106 runs,163,v Kenya,Sharjah,30-Sep-13,T20I # 330,,,,,,,,
Pakistan,103 runs,184,v New Zealand,Christchurch,30-Dec-10,T20I # 195,,,,,,,,
Netherlands,103 runs,173,v Nepal,Amstelveen,01-Jul-15,T20I # 425,,,,,,,,
Pakistan,102 runs,204,v Bangladesh,Karachi,20-Apr-08,T20I # 55,,,,,,,,
England,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2,,,,,,,,
Ireland,98 runs,212,v Scotland,Dubai (DSC),20-Jan-17,T20I # 587,,,,,,,,
Australia,95 runs,210,v South Africa,Brisbane,09-Jan-06,T20I # 4,,,,,,,,
Pakistan,95 runs,196,v South Africa,Centurion,03-Mar-13,T20I # 306,,,,,,,,
New Zealand,95 runs,197,v Pakistan,Wellington,22-Jan-16,T20I # 483,,,,,,,,
Australia,94 runs,169,v Pakistan,Dubai (DSC),10-Sep-12,T20I # 259,,,,,,,,
India,93 runs,181,v Sri Lanka,Cuttack,20-Dec-17,T20I # 633,,,,,,,,
Kenya,92 runs,184,v Scotland,ICCA Dubai,19-Nov-13,T20I # 339,,,,,,,,
Hong Kong,91 runs,184,v Netherlands,Dubai (DSC),18-Jan-17,T20I # 584,,,,,,,,
India,90 runs,171,v England,Colombo (RPS),23-Sep-12,T20I # 272,,,,,,,,
India,88 runs,261,v Sri Lanka,Indore,22-Dec-17,T20I # 634,,,,,,,,
Pakistan,85 runs,199,v Zimbabwe,Harare,16-Sep-11,T20I # 205,,,,,,,,
Australia,85 runs,264,v Sri Lanka,Pallekele,06-Sep-16,T20I # 565,,,,,,,,
South Africa,84 runs,242,v England,Centurion,15-Nov-09,T20I # 125,,,,,,,,
Australia,84 runs,196,v England,Sydney,02-Feb-14,T20I # 356,,,,,,,,
West Indies,84 runs,167,v Pakistan,Dhaka,01-Apr-14,T20I # 397,,,,,,,,
Netherlands,84 runs,158,v U.A.E.,ICCA Dubai,03-Feb-16,T20I # 490,,,,,,,,
New Zealand,83 runs,199,v Ireland,Nottingham,11-Jun-09,T20I # 102,,,,,,,,
South Africa,83 runs,225,v Bangladesh,Potchefstroom,29-Oct-17,T20I # 628,,,,,,,,
Pakistan,82 runs,176,v Netherlands,Lord's,09-Jun-09,T20I # 98,,,,,,,,
Sri Lanka,82 runs,183,v Zimbabwe,Hambantota,18-Sep-12,T20I # 263,,,,,,,,
Australia,81 runs,169,v Sri Lanka,Bridgetown,09-May-10,T20I # 170,,,,,,,,
New Zealand,81 runs,190,v West Indies,Auckland,11-Jan-14,T20I # 352,,,,,,,,
Afghanistan,81 runs,216,v Zimbabwe,Sharjah,10-Jan-16,T20I # 477,,,,,,,,
Nepal,80 runs,150,v Hong Kong,Chittagong,16-Mar-14,T20I # 367,,,,,,,,
New Zealand,80 runs,199,v Zimbabwe,Harare,09-Aug-15,T20I # 450,,,,,,,,
South Africa,78 runs,186,v New Zealand,Auckland,17-Feb-17,T20I # 595,,,,,,,,
Australia,77 runs,222,v England,Sydney,09-Jan-07,T20I # 13,,,,,,,,
New Zealand,75 runs,146,v Bangladesh,Kolkata,26-Mar-16,T20I # 550,,,,,,,,
India,75 runs,203,v England,Bengaluru,01-Feb-17,T20I # 594,,,,,,,,
Sri Lanka,75 runs,211,v Bangladesh,Sylhet,18-Feb-18,T20I # 651,,,,,,,,
West Indies,74 runs,206,v Australia,Colombo (RPS),05-Oct-12,T20I # 288,,,,,,,,
West Indies,73 runs,172,v Bangladesh,Dhaka,25-Mar-14,T20I # 385,,,,,,,,
India,73 runs,160,v Australia,Dhaka,30-Mar-14,T20I # 393,,,,,,,,
Bangladesh,71 runs,191,v Ireland,Belfast,18-Jul-12,T20I # 249,,,,,,,,
U.A.E.,71 runs,173,v Oman,Dhaka,22-Feb-16,T20I # 508,,,,,,,,
West Indies,70 runs,139,v Ireland,Providence,30-Apr-10,T20I # 152,,,,,,,,
South Africa,69 runs,196,v West Indies,Durban,14-Jan-15,T20I # 415,,,,,,,,
India,69 runs,197,v Sri Lanka,Ranchi,12-Feb-16,T20I # 497,,,,,,,,
Ireland,68 runs,226,v Afghanistan,Abu Dhabi,30-Nov-13,T20I # 348,,,,,,,,
Afghanistan,66 runs,179,v Hong Kong,Dhaka,22-Feb-16,T20I # 507,,,,,,,,
Ireland,65 runs,152,v Netherlands,Dubai (DSC),13-Feb-10,T20I # 142,,,,,,,,
Sri Lanka,64 runs,148,v Bangladesh,Johannesburg,18-Sep-07,T20I # 38,,,,,,,,
West Indies,61 runs,178,v New Zealand,Lauderhill,01-Jul-12,T20I # 248,,,,,,,,
South Africa,59 runs,140,v Afghanistan,Bridgetown,05-May-10,T20I # 162,,,,,,,,
New Zealand,59 runs,192,v Bangladesh,Pallekele,21-Sep-12,T20I # 267,,,,,,,,
Sri Lanka,59 runs,120,v New Zealand,Chittagong,31-Mar-14,T20I # 395,,,,,,,,
Afghanistan,59 runs,187,v Zimbabwe,Nagpur,12-Mar-16,T20I # 531,,,,,,,,
Sri Lanka,57 runs,159,v West Indies,The Oval,19-Jun-09,T20I # 115,,,,,,,,
Sri Lanka,57 runs,196,v West Indies,Bridgetown,07-May-10,T20I # 166,,,,,,,,
West Indies,56 runs,210,v New Zealand,Lauderhill,30-Jun-12,T20I # 247,,,,,,,,
England,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423,,,,,,,,
New Zealand,55 runs,193,v England,Hamilton,12-Feb-13,T20I # 302,,,,,,,,
Pakistan,55 runs,202,v Bangladesh,Kolkata,16-Mar-16,T20I # 536,,,,,,,,
Australia,54 runs,187,v New Zealand,Perth,11-Dec-07,T20I # 49,,,,,,,,
India,54 runs,179,v Zimbabwe,Harare,17-Jul-15,T20I # 440,,,,,,,,
Bangladesh,54 runs,120,v Oman,Dharamsala,13-Mar-16,T20I # 534,,,,,,,,
India,53 runs,203,v New Zealand,Delhi,01-Nov-17,T20I # 630,,,,,,,,
Australia,52 runs,183,v South Africa,Melbourne,11-Jan-09,T20I # 80,,,,,,,,
Pakistan,52 runs,173,v Sri Lanka,Colombo (RPS),12-Aug-09,T20I # 118,,,,,,,,
South Africa,52 runs,149,v Bangladesh,Dhaka,05-Jul-15,T20I # 428,,,,,,,,
Pakistan,51 runs,172,v Scotland,Durban,12-Sep-07,T20I # 22,,,,,,,,
Bangladesh,51 runs,134,v U.A.E.,Dhaka,26-Feb-16,T20I # 511,,,,,,,,
England,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25,,,,,,,,
England,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54,,,,,,,,
Pakistan,50 runs,136,v Bangladesh,Dhaka,29-Nov-11,T20I # 216,,,,,,,,
Pakistan,50 runs,191,v Bangladesh,Dhaka,30-Mar-14,T20I # 392,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MJ Guptill (NZ),2009-2018,75,73,7,2271,105,34.4,1709,132.88,2,14,2,200,103
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
V Kohli (INDIA),2010-2018,57,53,14,1983,90*,50.84,1444,137.32,0,18,1,210,41
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
JP Duminy (SA),2007-2018,76,70,22,1822,96*,37.95,1460,124.79,0,11,6,130,65
Shoaib Malik (PAK),2006-2017,92,86,24,1821,75,29.37,1548,117.63,0,6,1,152,43
Mohammad Shahzad (AFG),2010-2018,60,60,3,1816,118*,31.85,1333,136.23,1,12,3,204,68
DA Warner (AUS),2009-2018,70,70,3,1792,90*,26.74,1279,140.1,0,13,5,172,79
RG Sharma (INDIA),2007-2018,76,69,12,1696,118,29.75,1254,135.24,2,12,5,157,69
Umar Akmal (PAK),2009-2016,82,77,14,1690,94,26.82,1375,122.9,0,8,8,122,55
EJG Morgan (ENG),2009-2018,72,70,14,1678,85*,29.96,1268,132.33,0,9,3,124,76
AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60
Mohammad Hafeez (PAK),2006-2017,81,78,5,1658,86,22.71,1457,113.79,0,9,5,178,39
CH Gayle (WI),2006-2018,55,51,4,1589,117,33.8,1095,145.11,2,13,3,136,103
