Team 1,Team 2,Num,Tot,Winner,Ground,Match Date,Scorecard
Bangladesh,Zimbabwe,12,12,Bangladesh,Khulna,28-Nov-06,T20I # 9
New Zealand,England,12,13,England,Auckland,05-Feb-08,T20I # 53
Australia,India,11,12,India,Dhaka,30-Mar-14,T20I # 393
Ireland,P.N.G.,11,13,P.N.G.,Townsville,09-Feb-16,T20I # 495
Bangladesh,Sri Lanka,11,14,Sri Lanka,Sylhet,18-Feb-18,T20I # 651
Bangladesh,Sri Lanka,10,12,Sri Lanka,Johannesburg,18-Sep-07,T20I # 38
Canada,Zimbabwe,10,14,Zimbabwe,King City (NW),13-Oct-08,T20I # 75
New Zealand,West Indies,10,11,tied,Auckland,26-Dec-08,T20I # 78
England,West Indies,10,12,West Indies,The Oval,15-Jun-09,T20I # 111
South Africa,England,10,12,South Africa,Centurion,15-Nov-09,T20I # 125
New Zealand,Sri Lanka,10,12,New Zealand,Providence,30-Apr-10,T20I # 151
West Indies,India,10,13,West Indies,Bridgetown,09-May-10,T20I # 169
South Africa,India,10,12,India,Durban,09-Jan-11,T20I # 196
Bangladesh,West Indies,10,11,Bangladesh,Dhaka,11-Oct-11,T20I # 209
England,Pakistan,10,12,England,Dubai (DSC),25-Feb-12,T20I # 228
Netherlands,Bangladesh,10,12,Netherlands,The Hague,26-Jul-12,T20I # 254
Afghanistan,Kenya,10,13,Afghanistan,Sharjah,30-Sep-13,T20I # 330
Kenya,Netherlands,10,13,Netherlands,ICCA Dubai,23-Nov-13,T20I # 344
Afghanistan,Kenya,10,14,Afghanistan,Sharjah,24-Nov-13,T20I # 345
Australia,England,10,12,Australia,Sydney,02-Feb-14,T20I # 356
Bangladesh,Sri Lanka,10,13,Sri Lanka,Chittagong,14-Feb-14,T20I # 358
Netherlands,South Africa,10,13,South Africa,Chittagong,27-Mar-14,T20I # 386
England,Sri Lanka,10,12,Sri Lanka,The Oval,20-May-14,T20I # 401
West Indies,New Zealand,10,12,West Indies,Roseau,06-Jul-14,T20I # 403
Hong Kong,Nepal,10,11,Hong Kong,Colombo (PSS),24-Nov-14,T20I # 410
New Zealand,Pakistan,10,12,New Zealand,Dubai (DSC),05-Dec-14,T20I # 412
Sri Lanka,Pakistan,10,12,Pakistan,Colombo (RPS),01-Aug-15,T20I # 449
South Africa,New Zealand,10,12,New Zealand,Centurion,16-Aug-15,T20I # 452
Afghanistan,Zimbabwe,10,12,Afghanistan,Sharjah,10-Jan-16,T20I # 477
Netherlands,Scotland,10,12,Scotland,ICCA Dubai,05-Feb-16,T20I # 492
U.A.E.,Ireland,10,11,Ireland,Abu Dhabi,14-Feb-16,T20I # 498
Bangladesh,U.A.E.,10,11,Bangladesh,Dhaka,26-Feb-16,T20I # 511
India,Bangladesh,10,12,India,Bengaluru,23-Mar-16,T20I # 547
Australia,Sri Lanka,10,12,Sri Lanka,Geelong,19-Feb-17,T20I # 597
Sri Lanka,Bangladesh,10,13,Bangladesh,Colombo (RPS),06-Apr-17,T20I # 607
New Zealand,West Indies,10,11,New Zealand,Nelson,29-Dec-17,T20I # 636
