Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,*[16]
V Kohli,2010-2018,57,53,14,1983,90*,50.84,1444,137.32,0,18,1,210,41,
RG Sharma,2007-2018,76,69,12,1696,118,29.75,1254,135.24,2,12,5,157,69,
MS Dhoni,2006-2018,89,78,39,1444,56,37.02,1141,126.55,0,2,1,101,46,
SK Raina,2006-2018,70,60,11,1425,101,29.08,1071,133.05,1,4,2,129,50,
Yuvraj Singh,2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74,
G Gambhir,2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10,
S Dhawan,2011-2018,33,33,3,831,90,27.7,644,129.03,0,6,1,95,26,
KL Rahul,2016-2017,12,11,2,458,110*,50.88,310,147.74,1,3,1,41,20,
MK Pandey,2015-2018,20,17,6,424,79*,38.54,330,128.48,0,2,2,26,15,
V Sehwag,2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16,
AM Rahane,2011-2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6,
RV Uthappa,2007-2015,13,12,2,249,50,24.9,211,118,0,1,1,26,6,
YK Pathan,2007-2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17,
KD Karthik,2006-2018,16,14,6,199,48,24.87,145,137.24,0,0,1,25,5,
HH Pandya,2016-2018,30,18,2,188,31,11.75,143,131.46,0,0,2,10,9,
IK Pathan,2006-2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7,
M Vijay,2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8,
R Ashwin,2010-2017,46,11,7,123,31*,30.75,115,106.95,0,0,0,14,1,
KM Jadhav,2015-2017,9,6,0,122,58,20.33,99,123.23,0,1,0,12,3,
RA Jadeja,2009-2017,40,18,6,116,25,9.66,124,93.54,0,0,2,6,2,
Harbhajan Singh,2006-2016,28,13,5,108,21,13.5,87,124.13,0,0,1,11,4,
Mandeep Singh,2016-2016,3,3,1,87,52*,43.5,73,119.17,0,1,0,11,1,
SS Iyer,2017-2017,6,5,0,83,30,16.6,80,103.75,0,0,1,8,1,
RR Pant,2017-2018,4,4,1,73,38,24.33,69,105.79,0,0,0,5,2,
AR Patel,2015-2018,11,7,3,68,20*,17,54,125.92,0,0,0,3,3,
S Badrinath,2011-2011,1,1,0,43,43,43,37,116.21,0,0,0,5,0,
AT Rayudu,2014-2016,6,5,1,42,20,10.5,50,84,0,0,2,5,0,
D Mongia,2006-2006,1,1,0,38,38,38,45,84.44,0,0,0,4,1,
PA Patel,2011-2011,2,2,0,36,26,18,32,112.5,0,0,0,4,1,
STR Binny,2015-2016,3,2,0,35,24,17.5,29,120.68,0,0,0,2,1,
R Dravid,2011-2011,1,1,0,31,31,31,21,147.61,0,0,0,0,3,
A Nehra,2009-2017,27,5,0,28,22,5.6,39,71.79,0,0,3,1,2,
AB Dinda,2009-2012,9,2,1,22,19,22,24,91.66,0,0,0,1,0,
B Kumar,2012-2018,26,7,4,21,9,7,25,84,0,0,1,0,0,
S Sreesanth,2006-2008,10,3,2,20,19*,20,14,142.85,0,0,1,4,0,
SV Samson,2015-2015,1,1,0,19,19,19,24,79.16,0,0,0,1,0,
Kuldeep Yadav,2017-2017,8,1,0,16,16,16,19,84.21,0,0,0,1,0,
AB Agarkar,2006-2007,4,2,0,15,14,7.5,11,136.36,0,0,0,2,0,
MK Tiwary,2011-2012,3,1,0,15,15,15,17,88.23,0,0,0,0,0,
Z Khan,2006-2012,17,4,2,13,9,6.5,10,130,0,0,0,0,1,
NV Ojha,2010-2010,2,2,0,12,10,6,27,44.44,0,0,0,2,0,
PP Ojha,2009-2010,6,1,1,10,10*,-,6,166.66,0,0,0,0,1,
SR Tendulkar,2006-2006,1,1,0,10,10,10,12,83.33,0,0,0,2,0,
JJ Bumrah,2016-2018,34,6,4,8,7,4,13,61.53,0,0,1,1,0,
I Sharma,2008-2013,14,3,2,8,5*,8,9,88.88,0,0,1,1,0,
P Kumar,2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0,
Parvez Rasool,2017-2017,1,1,0,5,5,5,6,83.33,0,0,0,0,0,
YS Chahal,2016-2018,18,1,1,3,3*,-,2,150,0,0,0,0,0,
MM Sharma,2014-2015,8,2,2,3,3*,-,7,42.85,0,0,0,0,0,
RP Singh,2007-2009,10,2,2,3,2*,-,3,100,0,0,0,0,0,
