Player,Career Span,Career Start,Career End,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Innings Score,Highest Innings Score Num,Batting Avg,Balls Faced,Batting Strike Rate,Hundreds Scored,Scores Of Fifty Or More,Ducks Scored,Boundary Fours,Boundary Sixes,Country,Player Count,1000+ Runs Scored,25+ Batting Avg,120+ Batting Strike Rate
EJG Morgan (2009-2017),2009-2017,2009,2017,70,68,13,1576,85*,85,28.65,1208,130.46,0,8,3,118,69,England,1,1,1,1
AD Hales (2011-2017),2011-2017,2011,2017,48,48,6,1383,116*,116,32.92,1022,135.32,1,7,4,148,42,England,1,1,1,1
KP Pietersen (2005-2013),2005-2013,2005,2013,37,36,5,1176,79,79,37.93,831,141.51,0,7,1,119,32,England,1,1,1,1
JC Buttler (2011-2017),2011-2017,2011,2017,57,49,11,1014,73*,73,26.68,731,138.71,0,5,3,72,46,England,1,1,1,1
LJ Wright (2007-2014),2007-2014,2007,2014,51,45,5,759,99*,99,18.97,554,137.00,0,4,9,68,31,England,1,0,0,1
JE Root (2012-2017),2012-2017,2012,2017,25,23,4,743,90*,90,39.10,577,128.76,0,4,0,76,16,England,1,0,1,1
RS Bopara (2008-2014),2008-2014,2008,2014,38,35,10,711,65*,65,28.44,599,118.69,0,3,0,54,17,England,1,0,1,0
PD Collingwood (2005-2011),2005-2011,2005,2011,35,33,2,583,79,79,18.80,459,127.01,0,3,3,37,24,England,1,0,0,1
MJ Lumb (2010-2014),2010-2014,2010,2014,27,27,1,552,63,63,21.23,413,133.65,0,3,1,64,21,England,1,0,0,1
C Kieswetter (2010-2012),2010-2012,2010,2012,25,25,1,526,63,63,21.91,470,111.91,0,3,2,47,23,England,1,0,0,0
JJ Roy (2014-2017),2014-2017,2014,2017,23,23,0,472,78,78,20.52,352,134.09,0,2,4,47,20,England,1,0,0,1
OA Shah (2007-2009),2007-2009,2007,2009,17,15,1,347,55*,55,24.78,284,122.18,0,1,0,26,13,England,1,0,0,1
JM Bairstow (2011-2017),2011-2017,2011,2017,23,18,5,329,60*,60,25.30,274,120.07,0,2,0,31,9,England,1,0,0,1
TT Bresnan (2006-2014),2006-2014,2006,2014,34,22,9,216,47*,47,16.61,170,127.05,0,0,3,16,6,England,1,0,0,0
MM Ali (2014-2017),2014-2017,2014,2017,22,19,5,202,72*,72,14.42,179,112.84,0,1,6,19,6,England,1,0,0,0
BA Stokes (2011-2017),2011-2017,2011,2017,21,18,5,192,38,38,14.76,141,136.17,0,0,1,17,8,England,1,0,0,0
SR Patel (2011-2013),2011-2013,2011,2013,18,14,2,189,67,67,15.75,173,109.24,0,1,2,17,5,England,1,0,0,0
IR Bell (2006-2014),2006-2014,2006,2014,8,8,1,188,60*,60,26.85,163,115.33,0,1,0,23,2,England,1,0,0,0
ME Trescothick (2005-2006),2005-2006,2005,2006,3,3,0,166,72,72,55.33,131,126.71,0,2,0,23,1,England,1,0,0,0
JM Vince (2015-2016),2015-2016,2015,2016,5,5,0,163,46,46,32.60,137,118.97,0,0,0,18,4,England,1,0,0,0
SW Billings (2015-2017),2015-2017,2015,2017,13,11,0,148,53,53,13.45,101,146.53,0,1,1,12,7,England,1,0,0,0
