Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Best Bowling In An Innings,Bowling Avg,Economy Rate,Bowling Strike Rate,Four Wickets In An Innings,Five Wickets In An Innings,40+ Wickets Taken,<30.00 Bowling Avg,<8.00 Economy Rate,<25.00 Bowling Strike Rate
SCJ Broad (2006-2014),55,"1171,8",1491,65,4/24,22.93,7.62,18.0,1,0,1,1,1,1
GP Swann (2008-2012),38,810,859,51,3/13,16.84,6.36,15.8,0,0,1,1,1,1
JW Dernbach (2011-2014),33,702,1020,39,4/22,26.15,8.71,18.0,1,0,0,1,0,1
CJ Jordan (2014-2017),26,558,812,31,4/28,26.19,8.73,18.0,1,0,0,1,0,1
ST Finn (2011-2015),21,480,583,27,3/16,21.59,7.28,17.7,0,0,0,0,0,0
TT Bresnan (2006-2014),34,"661,8",887,24,3/10,36.95,8.02,27.6,0,0,0,0,0,0
RJ Sidebottom (2007-2010),18,"366,6",437,23,3/16,19.00,7.14,15.9,0,0,0,0,0,0
DJ Willey (2015-2017),16,"319,2",448,20,3/20,22.40,8.40,16.0,0,0,0,0,0,0
LE Plunkett (2006-2017),14,309,383,19,3/21,20.15,7.38,16.3,0,0,0,0,0,0
AU Rashid (2009-2017),22,438,572,19,3/25,30.10,7.83,23.0,0,0,0,0,0,0
JM Anderson (2007-2009),19,"421,2",552,18,3/23,30.66,7.84,23.4,0,0,0,0,0,0
LJ Wright (2007-2014),23,330,465,18,2/24,25.83,8.45,18.3,0,0,0,0,0,0
RS Bopara (2008-2014),21,"320,4",387,16,4/10,24.18,7.21,20.1,1,0,0,0,0,0
PD Collingwood (2005-2011),19,222,329,16,4/22,20.56,8.89,13.8,1,0,0,0,0,0
MM Ali (2014-2017),19,312,400,14,2/21,28.57,7.69,22.2,0,0,0,0,0,0
AD Mascarenhas (2007-2009),14,252,309,12,3/18,25.75,7.35,21.0,0,0,0,0,0,0
MH Yardy (2006-2011),13,276,299,11,2/19,27.18,6.50,25.0,0,0,0,0,0,0
BA Stokes (2011-2017),17,"320,4",485,10,3/26,48.50,9.03,32.2,0,0,0,0,0,0
SR Patel (2011-2013),15,252,321,7,2/6,45.85,7.64,36.0,0,0,0,0,0,0
JC Tredwell (2012-2014),15,315,416,7,1/16,59.42,7.87,45.2,0,0,0,0,0,0
CR Woakes (2011-2015),8,162,253,7,2/40,36.14,9.37,23.1,0,0,0,0,0,0
TK Curran (2017-2017),3,72,101,6,3/33,16.83,8.41,12.0,0,0,0,0,0,0
JE Root (2012-2017),9,84,139,6,2/9,23.16,9.92,14.0,0,0,0,0,0,0
DR Briggs (2012-2014),6,108,199,5,2/25,39.80,11.05,21.6,0,0,0,0,0,0
A Flintoff (2005-2007),7,150,161,5,2/23,32.20,6.44,30.0,0,0,0,0,0,0
