Player,Innings Fielded,Fielding Dismissals Made,Catches Taken,Stumpings Made,Catches As A Keeper,Catches As A Fielder,Max Dismissals In An Innings,Dismissals Per Innings
EJG Morgan (2009-2017),70,31,31,0,0,31,3 (3ct 0st),0.442
AD Hales (2011-2017),47,26,26,0,0,26,2 (2ct 0st),0.553
JM Bairstow (2011-2017),23,23,23,0,3,20,2 (2ct 0st),1.000
JC Buttler (2011-2017),56,22,19,3,18,1,3 (1ct 2st),0.392
SCJ Broad (2006-2014),56,21,21,0,0,21,3 (3ct 0st),0.375
C Kieswetter (2010-2012),25,20,17,3,17,0,3 (2ct 1st),0.800
PD Collingwood (2005-2011),35,14,14,0,0,14,2 (2ct 0st),0.400
KP Pietersen (2005-2013),36,14,14,0,0,14,3 (3ct 0st),0.388
JE Root (2012-2017),25,14,14,0,0,14,2 (2ct 0st),0.560
LJ Wright (2007-2014),50,14,14,0,0,14,2 (2ct 0st),0.280
CJ Jordan (2014-2017),26,12,12,0,0,12,2 (2ct 0st),0.461
TT Bresnan (2006-2014),34,10,10,0,0,10,2 (2ct 0st),0.294
SW Billings (2015-2017),13,9,8,1,2,6,3 (2ct 1st),0.692
MJ Prior (2007-2010),10,9,6,3,6,0,4 (4ct 0st),0.900
JW Dernbach (2011-2014),33,8,8,0,0,8,2 (2ct 0st),0.242
MJ Lumb (2010-2014),26,8,8,0,0,8,1 (1ct 0st),0.307
AU Rashid (2009-2017),24,8,8,0,0,8,2 (2ct 0st),0.333
BA Stokes (2011-2017),20,8,8,0,0,8,3 (3ct 0st),0.400
DJ Willey (2015-2017),16,8,8,0,0,8,1 (1ct 0st),0.500
MH Yardy (2006-2011),14,8,8,0,0,8,2 (2ct 0st),0.571
RS Bopara (2008-2014),37,7,7,0,0,7,2 (2ct 0st),0.189
AD Mascarenhas (2007-2009),14,7,7,0,0,7,2 (2ct 0st),0.500
MM Ali (2014-2017),22,6,6,0,0,6,2 (2ct 0st),0.272
ST Finn (2011-2015),21,6,6,0,0,6,1 (1ct 0st),0.285
JS Foster (2009-2009),5,6,3,3,3,0,2 (1ct 1st),1.200
A Flintoff (2005-2007),7,5,5,0,0,5,2 (2ct 0st),0.714
OA Shah (2007-2009),17,5,5,0,0,5,2 (2ct 0st),0.294
RJ Sidebottom (2007-2010),18,5,5,0,0,5,2 (2ct 0st),0.277
GP Swann (2008-2012),39,5,5,0,0,5,1 (1ct 0st),0.128
IR Bell (2006-2014),8,4,4,0,0,4,1 (1ct 0st),0.500
LE Plunkett (2006-2017),14,4,4,0,0,4,1 (1ct 0st),0.285
JM Anderson (2007-2009),19,3,3,0,0,3,1 (1ct 0st),0.157
SM Davies (2009-2011),5,3,2,1,2,0,2 (2ct 0st),0.600
SR Patel (2011-2013),18,3,3,0,0,3,1 (1ct 0st),0.166
JJ Roy (2014-2017),23,3,3,0,0,3,1 (1ct 0st),0.130
VS Solanki (2005-2007),3,3,3,0,2,1,2 (2ct 0st),1.000
TR Ambrose (2008-2008),1,2,1,1,1,0,2 (1ct 1st),2.000
LA Dawson (2016-2017),4,2,2,0,0,2,1 (1ct 0st),0.500
GO Jones (2005-2006),2,2,2,0,2,0,1 (1ct 0st),1.000
SD Parry (2014-2015),5,2,2,0,0,2,2 (2ct 0st),0.400
JC Tredwell (2012-2014),16,2,2,0,0,2,1 (1ct 0st),0.125
ME Trescothick (2005-2006),3,2,2,0,0,2,2 (2ct 0st),0.666
SG Borthwick (2011-2011),1,1,1,0,0,1,1 (1ct 0st),1.000
DR Briggs (2012-2014),6,1,1,0,0,1,1 (1ct 0st),0.166
MA Carberry (2014-2014),1,1,1,0,0,1,1 (1ct 0st),1.000
AN Cook (2007-2009),4,1,1,0,0,1,1 (1ct 0st),0.250
TK Curran (2017-2017),3,1,1,0,0,1,1 (1ct 0st),0.333
JWM Dalrymple (2006-2007),3,1,1,0,0,1,1 (1ct 0st),0.333
JL Denly (2009-2010),5,1,1,0,0,1,1 (1ct 0st),0.200
SJ Harmison (2005-2006),2,1,1,0,0,1,1 (1ct 0st),0.500
RWT Key (2009-2009),1,1,1,0,0,1,1 (1ct 0st),1.000
J Lewis (2005-2007),2,1,1,0,0,1,1 (1ct 0st),0.500
DL Maddy (2007-2007),4,1,1,0,0,1,1 (1ct 0st),0.250
SI Mahmood (2006-2009),4,1,1,0,0,1,1 (1ct 0st),0.250
DJ Malan (2017-2017),1,1,1,0,0,1,1 (1ct 0st),1.000
SC Meaker (2012-2012),2,1,1,0,0,1,1 (1ct 0st),0.500
TS Mills (2016-2017),4,1,1,0,0,1,1 (1ct 0st),0.250
PA Nixon (2007-2007),1,1,0,1,0,0,1 (0ct 1st),1.000
CMW Read (2006-2006),1,1,1,0,1,0,1 (1ct 0st),1.000
CP Schofield (2007-2007),4,1,1,0,0,1,1 (1ct 0st),0.250
A Shahzad (2010-2011),3,1,1,0,0,1,1 (1ct 0st),0.333
JN Snape (2007-2007),1,1,1,0,0,1,1 (1ct 0st),1.000
AJ Strauss (2005-2009),4,1,1,0,0,1,1 (1ct 0st),0.250
RJW Topley (2015-2016),6,1,1,0,0,1,1 (1ct 0st),0.166
CR Woakes (2011-2015),8,1,1,0,0,1,1 (1ct 0st),0.125
GJ Batty (2009-2009),1,0,0,0,0,0,0,0.000
MS Crane (2017-2017),2,0,0,0,0,0,0,0.000
D Gough (2005-2006),2,0,0,0,0,0,0,0.000
HF Gurney (2014-2014),2,0,0,0,0,0,0,0.000
EC Joyce (2006-2007),2,0,0,0,0,0,0,0.000
A Khan (2009-2009),1,0,0,0,0,0,0,0.000
RJ Kirtley (2007-2007),1,0,0,0,0,0,0,0.000
LS Livingstone (2017-2017),2,0,0,0,0,0,0,0.000
P Mustard (2008-2008),2,0,0,0,0,0,0,0.000
MS Panesar (2007-2007),1,0,0,0,0,0,0,0.000
WB Rankin (2013-2013),1,0,0,0,0,0,0,0.000
CT Tremlett (2007-2007),1,0,0,0,0,0,0,0.000
IJL Trott (2007-2010),7,0,0,0,0,0,0,0.000
MP Vaughan (2005-2007),2,0,0,0,0,0,0,0.000
JM Vince (2015-2016),5,0,0,0,0,0,0,0.000
MA Wood (2015-2017),2,0,0,0,0,0,0,0.000
DA Warner (2009-2017),65,34,34,0,0,34,3 (3ct 0st),0.523
DJ Hussey (2008-2012),39,24,24,0,0,24,2 (2ct 0st),0.615
BJ Haddin (2006-2014),34,23,17,6,17,0,3 (3ct 0st),0.676
CL White (2007-2014),47,23,23,0,0,23,2 (2ct 0st),0.489
MEK Hussey (2005-2012),38,20,20,0,0,20,3 (3ct 0st),0.526
SR Watson (2006-2016),58,20,20,0,0,20,2 (2ct 0st),0.344
GJ Maxwell (2012-2017),38,18,18,0,0,18,2 (2ct 0st),0.473
SPD Smith (2010-2016),30,18,18,0,0,18,2 (2ct 0st),0.600
AC Gilchrist (2005-2008),13,17,17,0,17,0,4 (4ct 0st),1.307
MS Wade (2011-2016),26,15,13,2,13,0,3 (2ct 1st),0.576
MJ Clarke (2005-2010),34,13,13,0,0,13,2 (2ct 0st),0.382
TD Paine (2009-2017),10,12,10,2,10,0,3 (3ct 0st),1.200
JP Faulkner (2012-2017),24,11,11,0,0,11,2 (2ct 0st),0.458
GJ Bailey (2012-2016),29,10,10,0,0,10,2 (2ct 0st),0.344
NM Coulter-Nile (2013-2017),19,9,9,0,0,9,2 (2ct 0st),0.473
AJ Finch (2011-2017),33,8,8,0,0,8,2 (2ct 0st),0.242
RT Ponting (2005-2009),17,8,8,0,0,8,2 (2ct 0st),0.470
BR Dunk (2014-2017),5,7,5,2,4,1,3 (1ct 2st),1.400
NW Bracken (2006-2009),19,6,6,0,0,6,1 (1ct 0st),0.315
B Lee (2005-2012),25,6,6,0,0,6,3 (3ct 0st),0.240
MA Starc (2012-2016),22,6,6,0,0,6,2 (2ct 0st),0.272
DT Christian (2010-2017),16,5,5,0,0,5,2 (2ct 0st),0.312
BCJ Cutting (2013-2014),4,5,5,0,0,5,3 (3ct 0st),1.250
BJ Hodge (2007-2014),15,5,5,0,0,5,1 (1ct 0st),0.333
MG Johnson (2007-2013),30,5,5,0,0,5,1 (1ct 0st),0.166
UT Khawaja (2016-2016),9,5,5,0,0,5,1 (1ct 0st),0.555
SR Clark (2006-2007),9,4,4,0,0,4,1 (1ct 0st),0.444
PJ Cummins (2011-2017),18,4,4,0,0,4,1 (1ct 0st),0.222
AC Agar (2016-2016),2,3,3,0,0,3,2 (2ct 0st),1.500
TM Head (2016-2017),9,3,3,0,0,3,1 (1ct 0st),0.333
MC Henriques (2009-2017),11,3,3,0,0,3,1 (1ct 0st),0.272
JR Hopes (2005-2010),12,3,3,0,0,3,1 (1ct 0st),0.250
SE Marsh (2008-2016),15,3,3,0,0,3,2 (2ct 0st),0.200
JM Muirhead (2014-2014),5,3,3,0,0,3,1 (1ct 0st),0.600
PM Nevill (2016-2016),9,3,2,1,2,0,1 (1ct 0st),0.333
JL Pattinson (2011-2012),4,3,3,0,0,3,2 (2ct 0st),0.750
JA Richardson (2017-2017),2,3,3,0,0,3,2 (2ct 0st),1.500
A Symonds (2005-2009),14,3,3,0,0,3,1 (1ct 0st),0.214
SW Tait (2007-2016),21,3,3,0,0,3,1 (1ct 0st),0.142
AC Voges (2007-2013),7,3,3,0,0,3,1 (1ct 0st),0.428
SA Abbott (2014-2014),3,2,2,0,0,2,2 (2ct 0st),0.666
DE Bollinger (2011-2014),9,2,2,0,0,2,1 (1ct 0st),0.222
JW Hastings (2010-2016),9,2,2,0,0,2,1 (1ct 0st),0.222
MS Kasprowicz (2005-2005),2,2,2,0,0,2,1 (1ct 0st),1.000
SM Katich (2005-2006),3,2,2,0,0,2,1 (1ct 0st),0.666
M Klinger (2017-2017),3,2,2,0,0,2,1 (1ct 0st),0.666
CA Lynn (2014-2016),5,2,2,0,0,2,1 (1ct 0st),0.400
MR Marsh (2011-2016),9,2,2,0,0,2,1 (1ct 0st),0.222
KW Richardson (2014-2016),3,2,2,0,0,2,2 (2ct 0st),0.666
AJ Turner (2017-2017),3,2,2,0,0,2,1 (1ct 0st),0.666
CT Bancroft (2016-2016),1,1,1,0,1,0,1 (1ct 0st),1.000
JP Behrendorff (2017-2017),2,1,1,0,0,1,1 (1ct 0st),0.500
TR Birt (2010-2012),4,1,1,0,0,1,1 (1ct 0st),0.250
SM Boland (2016-2016),3,1,1,0,0,1,1 (1ct 0st),0.333
CJ Ferguson (2009-2009),3,1,1,0,0,1,1 (1ct 0st),0.333
NM Hauritz (2009-2009),3,1,1,0,0,1,1 (1ct 0st),0.333
ML Hayden (2005-2007),9,1,1,0,0,1,1 (1ct 0st),0.111
JR Hazlewood (2013-2016),7,1,1,0,0,1,1 (1ct 0st),0.142
GB Hogg (2006-2014),15,1,1,0,0,1,1 (1ct 0st),0.066
B Laughlin (2009-2013),3,1,1,0,0,1,1 (1ct 0st),0.333
ML Lewis (2006-2006),2,1,1,0,0,1,1 (1ct 0st),0.500
GD McGrath (2005-2005),2,1,1,0,0,1,1 (1ct 0st),0.500
DR Martyn (2005-2006),4,1,1,0,0,1,1 (1ct 0st),0.250
DP Nannes (2009-2010),15,1,1,0,0,1,1 (1ct 0st),0.066
"SNJ O'Keefe (2010-2011)",7,1,1,0,0,1,1 (1ct 0st),0.142
CJ Boyce (2014-2016),7,0,0,0,0,0,0,0.000
XJ Doherty (2012-2013),11,0,0,0,0,0,0,0.000
Fawad Ahmed (2013-2013),2,0,0,0,0,0,0,0.000
B Geeves (2009-2009),1,0,0,0,0,0,0,0.000
JN Gillespie (2005-2005),1,0,0,0,0,0,0,0.000
RJ Harris (2010-2010),3,0,0,0,0,0,0,0.000
SM Harwood (2007-2009),3,0,0,0,0,0,0,0.000
