Team1,Team2,Winner,Margin,Ground,Match_Date,Score_Card
New Zealand,Australia,Australia,44 runs,Auckland,"Feb 17, 2005",T20I # 1
England,Australia,England,100 runs,Southampton,"Jun 13, 2005",T20I # 2
South Africa,New Zealand,New Zealand,5 wickets,Johannesburg,"Oct 21, 2005",T20I # 3
Australia,South Africa,Australia,95 runs,Brisbane,"Jan 9, 2006",T20I # 4
New Zealand,West Indies,tied,,Auckland,"Feb 16, 2006",T20I # 5
South Africa,Australia,South Africa,2 runs,Johannesburg,"Feb 24, 2006",T20I # 6
England,Sri Lanka,Sri Lanka,2 runs,Southampton,"Jun 15, 2006",T20I # 7
England,Pakistan,Pakistan,5 wickets,Bristol,"Aug 28, 2006",T20I # 8
Bangladesh,Zimbabwe,Bangladesh,43 runs,Khulna,"Nov 28, 2006",T20I # 9
South Africa,India,India,6 wickets,Johannesburg,"Dec 1, 2006",T20I # 10
New Zealand,Sri Lanka,Sri Lanka,18 runs,Wellington,"Dec 22, 2006",T20I # 11
New Zealand,Sri Lanka,New Zealand,5 wickets,Auckland,"Dec 26, 2006",T20I # 12
Australia,England,Australia,77 runs,Sydney,"Jan 9, 2007",T20I # 13
South Africa,Pakistan,South Africa,10 wickets,Johannesburg,"Feb 2, 2007",T20I # 14
England,West Indies,West Indies,15 runs,The Oval,"Jun 28, 2007",T20I # 15
England,West Indies,England,5 wickets,The Oval,"Jun 29, 2007",T20I # 16
Kenya,Bangladesh,Bangladesh,5 wickets,Nairobi (Gym),"Sep 1, 2007",T20I # 17
Bangladesh,Pakistan,Pakistan,30 runs,Nairobi (Gym),"Sep 2, 2007",T20I # 18
Kenya,Pakistan,Pakistan,8 wickets,Nairobi (Gym),"Sep 4, 2007",T20I # 19
South Africa,West Indies,South Africa,8 wickets,Johannesburg,"Sep 11, 2007",T20I # 20
Kenya,New Zealand,New Zealand,9 wickets,Durban,"Sep 12, 2007",T20I # 21
Pakistan,Scotland,Pakistan,51 runs,Durban,"Sep 12, 2007",T20I # 22
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,"Sep 12, 2007",T20I # 23
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,"Sep 13, 2007",T20I # 24
England,Zimbabwe,England,50 runs,Cape Town,"Sep 13, 2007",T20I # 25
India,Scotland,no result,,Durban,"Sep 13, 2007",T20I # 26
Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,"Sep 14, 2007",T20I # 27
Australia,England,Australia,8 wickets,Cape Town,"Sep 14, 2007",T20I # 28
India,Pakistan,tied,,Durban,"Sep 14, 2007",T20I # 29
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,"Sep 15, 2007",T20I # 30
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,"Sep 15, 2007",T20I # 31
India,New Zealand,New Zealand,10 runs,Johannesburg,"Sep 16, 2007",T20I # 32
Australia,Bangladesh,Australia,9 wickets,Cape Town,"Sep 16, 2007",T20I # 33
South Africa,England,South Africa,19 runs,Cape Town,"Sep 16, 2007",T20I # 34
Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,"Sep 17, 2007",T20I # 35
England,New Zealand,New Zealand,5 runs,Durban,"Sep 18, 2007",T20I # 36
Australia,Pakistan,Pakistan,6 wickets,Johannesburg,"Sep 18, 2007",T20I # 37
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,"Sep 18, 2007",T20I # 38
South Africa,New Zealand,South Africa,6 wickets,Durban,"Sep 19, 2007",T20I # 39
England,India,India,18 runs,Durban,"Sep 19, 2007",T20I # 40
Australia,Sri Lanka,Australia,10 wickets,Cape Town,"Sep 20, 2007",T20I # 41
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,"Sep 20, 2007",T20I # 42
South Africa,India,India,37 runs,Durban,"Sep 20, 2007",T20I # 43
New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,"Sep 22, 2007",T20I # 44
Australia,India,India,15 runs,Durban,"Sep 22, 2007",T20I # 45
India,Pakistan,India,5 runs,Johannesburg,"Sep 24, 2007",T20I # 46
India,Australia,India,7 wickets,Mumbai (BS),"Oct 20, 2007",T20I # 47
South Africa,New Zealand,South Africa,3 wickets,Johannesburg,"Nov 23, 2007",T20I # 48
Australia,New Zealand,Australia,54 runs,Perth,"Dec 11, 2007",T20I # 49
South Africa,West Indies,West Indies,5 wickets,Port Elizabeth,"Dec 16, 2007",T20I # 50
South Africa,West Indies,South Africa,4 wickets,Johannesburg,"Jan 18, 2008",T20I # 51
Australia,India,Australia,9 wickets,Melbourne,"Feb 1, 2008",T20I # 52
New Zealand,England,England,32 runs,Auckland,"Feb 5, 2008",T20I # 53
New Zealand,England,England,50 runs,Christchurch,"Feb 7, 2008",T20I # 54
Pakistan,Bangladesh,Pakistan,102 runs,Karachi,"Apr 20, 2008",T20I # 55
England,New Zealand,England,9 wickets,Manchester,"Jun 13, 2008",T20I # 56
West Indies,Australia,West Indies,7 wickets,Bridgetown,"Jun 20, 2008",T20I # 57
Kenya,Netherlands,Netherlands,19 runs,Belfast,"Aug 2, 2008",T20I # 58
Ireland,Scotland,Ireland,4 wickets,Belfast,"Aug 2, 2008",T20I # 59
Canada,Netherlands,Canada,4 wickets,Belfast,"Aug 2, 2008",T20I # 60
