,Country_N,Country,Team_Matches_Played,Matches_Won,Points,Rating,Matches_Lost,Matches_Tied,Win_outcome,Matches_With_No_Result,Win/Loss_Ratio,Avg_Runs_Per_Wicket_Batting,Avg_Runs_Per_Six_Balls_Batting,Number_Of_Team_Innings_Batting,Highest_Team_Score_Batting,Lowest_Completed_Score_Batting,Avg_Runs_Per_Wicket_Bowling,Avg_Runs_Per_Six_Balls_Bowling,Number_Of_Team_Innings_Bowling,Highest_Team_Score_Bowling,Lowest_Completed_Score_Bowling,Pos,Matches,Partners,Partnership_Career_Span,Partnership_Career_Start,Partnership_Career_End,Number_Of_Partnerships,Unbroken_Partnerships,Total_Partnership_Runs,Highest_Partnership,Avg_Partnership_Per_Dismissal,Century_Partnerships,Fifty_Runs_And_Over_Partnerships,Margin,Target,Opposition,Ground,Match_Date,Scorecard
0,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, MJ Lumb",2012-2014,2012,2014,18,1,705,143*,41.47,2,3,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
1,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, MJ Lumb",2012-2014,2012,2014,18,1,705,143*,41.47,2,3,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
2,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, MJ Lumb",2012-2014,2012,2014,18,1,705,143*,41.47,2,3,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
3,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, MJ Lumb",2012-2014,2012,2014,18,1,705,143*,41.47,2,3,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
4,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, MJ Lumb",2012-2014,2012,2014,18,1,705,143*,41.47,2,3,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
5,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"JC Buttler, EJG Morgan",2012-2017,2012,2017,18,4,541,114*,38.64,1,2,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
6,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"JC Buttler, EJG Morgan",2012-2017,2012,2017,18,4,541,114*,38.64,1,2,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
7,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"JC Buttler, EJG Morgan",2012-2017,2012,2017,18,4,541,114*,38.64,1,2,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
8,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"JC Buttler, EJG Morgan",2012-2017,2012,2017,18,4,541,114*,38.64,1,2,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
9,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"JC Buttler, EJG Morgan",2012-2017,2012,2017,18,4,541,114*,38.64,1,2,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
