Country,Team_Matches_Played,Matches_Won,Points,Rating
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
England,96,46,2029,119
